title,price,location,description,bedrooms,bathrooms,floor_area,property_type,subcategories,listing_url,listing_id,geo_location,furnished_status,condominium_name,is_new_development
"Building For Sale in Novaliches, Quezon City, Metro Manila",90000000,"Novaliches, Quezon City","LOT AREA = 240 Square Meters
Distance from Major Shopping Malls:
- Less than 100 meters from Landers Superstore
- 200 meters to Robinsons Mall
- 200 meters to Ayala Mall
- 150 meters from Regalado Hi-way

The property is located in a highly commercial area along Quirino Highway, just a few steps away from major malls.The building is constructed with premium materials and features an attractive, aesthetic facade. New lift installed for comfort and easy access to the 2nd & 3rd floor. The basement is an extra space for storage .",N/A,N/A,600,commercial,"commercial, building",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/3-storey-brand-new-building-quirino-avenue-quezon-17294852335/,CO6715D9B1CDAE3PH,"121.0521, 14.7214",180,N/A,False
"Building For Sale in Katipunan, Quezon City, Metro Manila",175000000,"Katipunan, Quezon City","FOR SALE: 4-Story Building in EDSA Munoz  Price: PHP 175M gross Lot area: 500 sqm Floor area: 1,800 sqm Location: EDSA Munoz (near the intersection of Roosevelt / Congressional Avenue corner EDSA)  · 4-stories with roof deck · High commuter traffic · Easy commuter access · Potential rental income: 900K to 1M per month  Nearby: · SM North · LRT Munoz Station · Waltermart · Telus · VXI · McDonalds · Jollibee",N/A,N/A,1800,commercial,"commercial, building",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/4-story-building-in-edsa-munoz-172965319144/,CO671869C756518PH,"121.076504, 14.640624",180,N/A,False
"Building For Sale in Loyola Heights, Quezon City, Metro Manila",1000000000,"Loyola Heights, Quezon City","AURORA BLVD BLDG for SALE near Katipunan Ave-QC. Lot Area- 1,375 sqm.; Total Gross Floor Area is 19,250 sqm + 1 basement level for commercial use with 1,267 sqm.; Asking Price: Php 1 Billion (reduced from Php 1.5 Billion)

At an average lease rate of say Php400 psm, potential monthly and annual revenue at 100% occupancy should be about Php8.21 Million and Php98.48 Million, respectively. This excludes revenues from parking. At the asking price of Php1.5 Billion, annual yield is about 7%. Not bad. The challenge is getting tenants to fill up the building.

Ramon Zamuco, Jr. , REB
PRC Licensed Real Estate Broker No. 0031074",N/A,N/A,20517,commercial,"commercial, building",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/aurora-blvd-bldg-for-sale-near-katipunan-ave-qc-gf-173107813047/,CO6725AC2CAD19BPH,"121.076504, 14.640624",,N/A,False
"Building For Sale in Kristong Hari, Quezon City, Metro Manila",600000000,"Kristong Hari, Quezon City","Prime Commercial Building for SaleTomas Morato, Quezon CityProperty Details:Lot area: 1,194 sqmFloor area: 5,719 sqmSelling price: P600,000,000.008 Storey buildingCommercial office / multi-purpose2 elevatorsElectric and utility roomSeptic tanksToilet for men and womenCCTV camera and fire protection systems45 parking slots for motorcycle57 parking slots for carNearby Banks, Offices, Hotels, Restaurants and other commercial establishmentsLet us assist you with your real estate requirementsFor Inquiries:*Prices and availability are subject to change without prior notice",N/A,N/A,5719,commercial,"commercial, building",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/prime-commercial-building-for-sale-tomas-morato-qu-17253323602/,CO66D67B880FC41PH,"121.029926, 14.624843",,N/A,False
"Building For Sale in Obrero, Quezon City, Metro Manila",75300000,"Obrero, Quezon City","Location: Tomas Morato, Quezon City Last 1-Unit Available (Total of 4 UNITS)  Lot Area: 149.62 sqm Floor Area: 425 sqm  Property Features: The Property is ideal for Offices or any Commercial Business · 4-Storey Commercial Property · 4 Car garage · Cement finish ceiling · 60x60 cm. Floor Tiles · Elevator (Made in Sweden) · Each Floor has Toilets · Each unit has own Septic tanks and Cistern · CCTV Cameras Nearby Establishments: · Walking distance to Main thoroughfare · Walking distance to all Major banks like BDO, MetroBank, BPI, Chinabank · Different choices of Restaurants (Korean, Asian fusion, Japanese, American) · Manageable time going to Central Business District. · Near Christ The King Church · Near St. Lukes Medical Center Market Price: PHP 75,300,000.00 For Direct Buyer Only! Let me help you find your DREAM HOME. You may also enlist your property with us.  Contact for viewing or inquiries: Raymund Vidal  Under PRC Licensed Real Estate Broker No. 0022291",N/A,N/A,425,commercial,"commercial, building",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/modern-brand-new-4-storey-high-end-prime-commercia-172727822661/,CO66F42C92C2C26PH,"121.0300173, 14.6288755",,N/A,False
"Building For Sale in G. Araneta Avenue, Quezon City, Metro Manila",212800000,"G. Araneta Avenue, Quezon City","About SGS Foundation Building
The SGS Foundation Building is being managed by Sunproperties Development Corporation. It is located along the suburban arterial road of Gregorio Araneta Ave. in Quezon City. In between the intersections of Del Monte Ave. and Quezon Ave. with the frontage parallel to Metro Manila Skyway Stage 3. It is also mapped as one of the major commercial zones of the city with several residential zones adjacent to the property.

Property Details
Property: SGS Foundation Building
Location: 1335 G. Araneta Avenue, Quezon City, Metro Manila
Total Lot Area: 1,260 sqm (Building 1)
Total Floor Area: 3,796.76 sqm (Building 1)
Selling Price: Php 212,800,000 (Building 1)

Property Details and Features

  More available parking space
  4-storey building
  Ideal for investment
  Ideal for BPO use
  Ideal for POGO
  Ideal for property development
  Near commercial establishments

* See to appreciate",N/A,N/A,3796.76,commercial,"commercial, building",https://www.lamudi.com.phhttps://www.lamudi.com.ph/new-developments/sdc-land-building-for-sale-araneta-ave-quezon-city/4-storey-building-for-sale-in-g-araneta-ave-quezon-city-sgs-foundation-building-1/,CO6246BF495BE4APH,"121.00867, 14.63416",,N/A,True
"Building For Sale in G. Araneta Avenue, Quezon City, Metro Manila",212800000,"G. Araneta Avenue, Quezon City","About SGS Foundation Building
The SGS Foundation Building is being managed by Sunproperties Development Corporation. It is located along the suburban arterial road of Gregorio Araneta Ave. in Quezon City. In between the intersections of Del Monte Ave. and Quezon Ave. with the frontage parallel to Metro Manila Skyway Stage 3. It is also mapped as one of the major commercial zones of the city with several residential zones adjacent to the property.

Property Details
Property: SGS Foundation Building
Location: 1335 G. Araneta Avenue, Quezon City, Metro Manila
Total Lot Area: 1,260 sqm (Building 2)
Total Floor Area: 3,303.00 sqm (Building 2)
Selling Price: Php 212,800,000 (Building 2)

Property Details and Features

  More available parking space
  4-storey building
  Ideal for investment
  Ideal for BPO use
  Ideal for POGO
  Ideal for property development
  Near commercial establishments

* See to appreciate",N/A,N/A,3303,commercial,"commercial, building",https://www.lamudi.com.phhttps://www.lamudi.com.ph/new-developments/sdc-land-building-for-sale-araneta-ave-quezon-city/4-storey-building-for-sale-in-g-araneta-ave-quezon-city-sgs-foundation-building-2/,CO6246C058E1019PH,"121.00867, 14.63416",,N/A,True
"Retail For Sale in Bagumbayan, Quezon City, Metro Manila",32250000,"Bagumbayan, Quezon City","ASPIRE TOWER, NUVOLAND: 
Beside Eastwood Center:  

Ground Floor Commercial Spaces For Rent or For Sale: 
Combined units: 112 sqm and 103 sqm 
TOTAL FLOOR AREA: 215 sqm 
Plus Two (2) Parking Slots 

For Sale or Rent
High Ceiling of 4.5 meters 
Can have mezzanine  
Location is Not facing the exterior road of Libis. 

It is the ground floor located inside the compound of NUVOLAND.   
The Space is Good for: Service Business, Software Development shop, Digital Arts Production, Imaging / photography / Arts Display business, Courier / Delivery, Kitchen Commissary, Restaurant with Delivery, Hotel Service Business, Laundry, Money Exchange, etc  

FOR SALE at P150,000/sqm or P32,250,000 plus P1.5M/parking 
FOR RENT at P800/sqm or P172,000/month plus P5,000/parking slot 

To view the property, please contact: 
JOYCE TANLIMCO 

PRC REBL 9989
BestPropertiesPH",N/A,N/A,215,commercial,"commercial, retail",https://www.lamudi.com.phhttps://www.lamudi.com.ph/projects/aspire-tower/aspire-nuvoland-quezon-city-ground-floor-commercia-169997901520/,CO6550F545897D4PH,"121.081903, 14.605396",,N/A,False
"Building For Sale in Kamuning, Quezon City, Metro Manila",90000000,"Kamuning, Quezon City","For Sale Commercial Building Along Kamuning Road Quezon City Lot Area: 450sqm - Business units for Rental operations - Investment property with passive income - Clean Title on hand and updated Taxes - 15 Residential Units and 3 Commercial Spaces unit own. Generous space to accommodate unit owner’s style  Nearby Establishments - near Timog Ave and Tomas Morato - CIIT College of Arts & Technology - BPI Kamuning Branch - Robinsons Easymart - Transpo Hub - hughly commercialized area within vicinity  Commercial Property for Sale in Kamuning, Quezon City, Metro Manila",N/A,N/A,N/A,commercial,"commercial, building",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/for-sale-commercial-building-along-kamuning-road-i-167696057950/,CO63F4634319E26PH,"121.038526, 14.62746",,N/A,False
"Warehouse For Sale in Project 4, Quezon City, Metro Manila",30000000,"Project 4, Quezon City",PRICE DROP from 35M to 30M  About the Property  Lot with existing one level structure currently can be used as commissary / storage  Best use for building or townhouse development   About the Location  Accessible via 3 major thoroughfares: 1. P.Tuazon 2. J.P. Rizal 3. Aurora Blvd 4. C5- Katipunan Quezon City Walking distance to the future Manila Subway,N/A,N/A,100,commercial,"commercial, warehouse",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/rush-sale-commercial-residential-lot-with-structur-17305144868/,CO66678EA83022DPH,"121.0708, 14.62078",,N/A,False
"Building For Sale in Santol, Quezon City, Metro Manila",110000000,"Santol, Quezon City","Commercial Buidling for Sale in Sta. Mesa, Quezon City

Category: For Sale
Type: Commercial Building
Building description:
Lot area: 346sqm
Floor area: 2,372.95sqm

House w/swimming pool description:
Lot area: 470sqm
Floor area: 610sqm
Package price: Php110M

Let us assist you on your real estate requirements.


*Similar properties also available in different size, price and location.
*Prices and availability subject to change without prior notice.",N/A,N/A,2372.95,commercial,"commercial, building",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/commercial-building-for-sale-in-santa-mesa-quezon-city/,CO623433035144APH,"121.014874, 14.612176",N/A,N/A,False
"Building For Sale in Bagong Pag-Asa, Quezon City, Metro Manila",25000000,"Bagong Pag-Asa, Quezon City","Rush Sale!! Apartment business for sale in Quezon City  Location: Mindanao Ave., Quezon City --------- 4 apartments - 15K 2 apartments - 10K 1 apartment - 30K Total monthly income - 110K  estimated Floor area: 800sq.m Lot area: 297sq.m Price: 28M Reprice: 25M ---------- *If you want to know the fair market value of your property, we do appraisal services, valuation, and consultancy within 5-7 days.  For more inquiries feel free to contact us; Alan and Gina Baldovino Licensed Real Estate Broker, Appraiser, and Consultant  For clients outside the Philippines please contact us through   Potters’ Hand We make real estate real simple",N/A,N/A,800,commercial,"commercial, building",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/commercial-residential-building-for-sale-in-quezon-172662898264/,CO66EA44764DF09PH,"121.03781, 14.650205",,N/A,False
"Offices For Sale in Bagong Pag-Asa, Quezon City, Metro Manila",94707000,"Bagong Pag-Asa, Quezon City","Explore the Future of Business at One Vertis Plaza!  Situated in the bustling hub of Vertis North, Quezon City, One Vertis Plaza stands as the ultimate corporate destination crafted for triumph. Enhance your business with top-notch work environments that grant unparalleled access to a lively, two-hectare park.  Why Opt for One Vertis Plaza? Prime Location: Nestled in a vibrant business district, seamlessly linked to major thoroughfares and transportation services.  Cutting-Edge Facilities: Delight in a majestic motor court, a lobby with double-volume height, an exclusive food hall, and a retail plaza.  Environmentally Friendly Design: A LEED-certified building featuring energy-efficient elements and sustainable practices.  Exceptional Amenities: Direct entry to Vertis Gardens, a spacious driveway, sophisticated lobbies, and a curated selection of dining and retail choices.  Pre-selling High-rise Premium Office Spaces: UNIT SIZES - Ranging from 101 to 325 sqm DENSITY - 8-10 Units per Floor UNIT TURNOVER - Expected in Q2 2024 Ready to propel your business ti new horizons? Cultivate a mark of distinction with One Vertis Plaza.  INQUIRE NOW!!",N/A,N/A,319,commercial,"commercial, offices",https://www.lamudi.com.phhttps://www.lamudi.com.ph/projects/one-vertis-plaza/office-space-for-sale-319-sqm-in-one-vertis-plaza-171679146462/,CO665428A81963DPH,"121.03781, 14.650205",,N/A,False
"Building For Sale in West Kamias, Quezon City, Metro Manila",38000000,"West Kamias, Quezon City",West Kamias QC Corner Comml residential Building for Sale4 Storeys   w total floor area  of around 548 sqm inclusive of 25 sqm garage and porch & balcony areas. Grnd floor&nb,N/A,N/A,548,commercial,"commercial, building",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/for-sale-corner-commercial-residential-building-we-173018747182/,CO672090CF72160PH,"121.0474735, 14.6301061",N/A,N/A,False
"Offices For Sale in Sienna, Quezon City, Metro Manila",173385000,"Sienna, Quezon City","PROPERTY FOR SALE  Located Along Banawe Street  Highest Elevation Highly Commercialized Area Flood free LOT AREA: 385.3 SQM PRICE: PHP 450K/SQM or PHP 173,385,000  For more details and schedule for viewing, kindly message me directly.",N/A,N/A,N/A,commercial,"commercial, offices",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/property-for-sale-located-along-banawe-street-bara-172958095156/,CO67174F9738E36PH,"121.004121, 14.636398",,N/A,False
"Building For Sale in Congressional Avenue, Quezon City, Metro Manila",600000000,"Congressional Avenue, Quezon City","FOR SALE: OFFICE / COMMERCIAL BUILDING IN CONGRESSIONAL  Price: PHP 600M Lot area: 2,535 sqm Floor area: 6,956.03 sqm Location: Congressional Ave. corner Jupiter St., QC  · 5 stories · Office and commercial building · 40 car parking slots · 8 motorcycle parking · Lobby · Open deck with basketball court on top floor · Elevator",N/A,N/A,6956,commercial,"commercial, building",https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/office-commercial-building-in-congressional-172991197060/,CO671C5CA2B7D41PH,"121.031, 14.66588",180,N/A,False
