title,price,location,description,bedrooms,bathrooms,subcategories,rooms_total,floor_area,land_size,listing_url,listing_id,geo_location,car_spaces,classification,subdivision_name
RUSH SALE! FULLY OCCUPIED 7-STOREY APARTMENT BUILDING IN CUBAO NEAR EDSA,140000000,"Socorro, Quezon City","Fully Occupied 7-Storey Apartment Building in Cubao,  Quezon City (near EDSA)   Property Overview: Type: 7-storey apartment building  Age: 7 years Floor  Area: 3,000 plus sq.m  Lot Area: 385 sq.m  Key Features:  - 56 residential units  - 7 carport - Roofdeck leased to cell site DITO (10 years contract)  - Elevator access - Gated building with SG   Financial Highlights:  - Occupancy Rate: 100% occupied  - Monthly Income: ₱800,000  - Annual Income: ₱9,600,000   Note: The current rental fees are based on 2019 rates.  Please Direct Message for Viewing Appointments.  Thank you",56,56,"apartment, room",56,3000,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/rush-sale-fully-occupied-7-storey-apartment-buildi-172787450611/,AP66FD45CAA2F2EPH,"[121.056446,14.617564]",7,,N/A
"House and 5 Apartments with Passive Income of 73,000 PHP",32000000,"Project 3, Quezon City","5 door apartment with 2 Storey Main Residential House and lot for sale Location: Project 3, Barangay Duyan-Duyan, Quezon City - currently generating an Annual Passive Income of ₱ 876,000 PHP from 5 doors apartment - located on a centralized area - commuter easy access to main city arteries - Walking distance to Quirino High School -Walking distance to St Joseph Church/Aurora Blvd LRT Station -Walking distance to Anson’s super mart -Walking distance to Wet Market (across Anson’s) **Colleges near its location are as follows: -World Citi Colleges Quezon City, 0.5 Km away -Asian College, 0.3 Km away -National College of Business and Arts, 0.4 Km away -Technical Institute of the Philippines, 0.85 Km away -Foursquare Bible College, 0.5 Km away -Mount Carmel School of Quezon City, 0.55 Km away -FASS Inteli College Inc, 0.8 Km away Residential 2 Storey details: -Main building = 118 sqm -Roof deck = 24 sqm -Garage = 15 sqm *Residential Total Floor Area - 157.0 sqm *Apartment Total Floor Area - 224.0 sqm *Residential and Apartment Combined Floor Area TotaL = 381 sqm Note: Note: Residential and all apartment unit has its own Electric and Water Meters, conformed to city ordinance/codes, complying FD’s regulation of Fire Extinguisher installation to all units. Conformed to city/Meralco building codes; installed emergency shut-offs to each door unit (115 A/B/C/D/E/F). All Licenses/permits/clearances are current: Quezon City Business Permit/License, Barangay Business Clearance, Sanitation Permit, Fire Clearance Permit. Payment Terms: Spot Cash And Bank Financing (We also assist Bank Loan Applications and Processing) ❗️❗️ For inquiries and viewing appointments message or call",9,6,"apartment, apartments",N/A,381,0,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/house-and-5-apartments-with-passive-income-of-73-0-172910200134/,AP671000B102C19PH,"[121.0664987,14.6305058]",N/A,N/A,N/A
"Apartment Building for sale in Mindanao Avenue, Quezon City",25000000,"Bahay Toro, Quezon City","Rush Sale!! Apartment business for sale in Quezon City

Location: Mindanao Ave., Quezon City
---------
4 apartments - 15K
2 apartments - 10K
1 apartment - 30K
Total monthly income - 110K

estimated Floor area: 800sq.m
Lot area: 297sq.m
Price: 28M
Reprice: 25M
----------
*If you want to know the fair market value of your property, we do appraisal services, valuation, and consultancy within 5-7 days.

For more inquiries feel free to contact us;
Alan and Gina Baldovino
Licensed Real Estate Broker, Appraiser, and Consultant

Potters’ Hand
We make real estate real simple",7,N/A,"apartment, apartments",N/A,800,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/apartment-building-for-sale-in-mindanao-avenue-que-170677320930/,CO65BB329E4552FPH,"[121.0293966,14.6671154]",N/A,N/A,N/A
"For Sale: Residential Building in Fairview, Quezon City, Metro Manila",36000000,"Fairview, Quezon City","For Sale: Residential Building in Fairview, Quezon City, Metro Manila  Bedrooms: 15 Floor Area: 800 sqm PHP 36,000,000",15,N/A,"apartment, apartments",N/A,800,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/for-sale-residential-building-in-fairview-quezon-c-169088557911/,AP64C720182D99APH,"[121.06821,14.702178]",N/A,N/A,N/A
"5 Doors Apartment for Sale in Quezon City, Cubao MAJOR PRICE DROP! From120M-70M!",70000000,"Cubao, Quezon City","Code : DS882559
Category : For Sale
Project : Apartment
City : Cubao, Quezon City
Size : 524 sqm
Price per sqm : Php 133,587.79
Selling Price : From ₱ 120,000,000.00 Down ₱ 70,000,000.00 Gross

Details of the Property:
• Good Lot Location
• With 5 doors apartment in frontage and community compound at the back
• Monthly income at Php 70,200.00

Cubao is the commercial heart of Quezon City, at the intersection of EDSA and Aurora Boulevard. Cubao lies at the intersection of LRT Line 2 (LRT-2) and MRT Line 3 (MRT-3) and is reachable from both of them. The stations of both lines are named Araneta Center-Cubao. LRT-2 runs above Aurora Avenue west from Manila into Santolan in Pasig. MRT-3 is built at the middle of EDSA and runs from Taft Avenue in Pasay to North Avenue within Quezon City.

3 Great Reason why you should invest a property in Quezon City?
1. It’s accessible
Quezon City is strategically located; it has easy access to the Northern and Southern areas of the Metro. Another perk of living in the city is its easy public transportation. MRT-1, MRT-3, and LRT-2 are all accessible in different parts of the city.

2. Growing central business district
Work opportunities are abundant in the city and will continue to grow more in the following years. The city is home to outsourcing businesses, as well as new businesses that cater not just only to locals, but also to neighboring cities alike.

3. Quality medical and educational institutions
Another reason people choose to stay in Quezon City is because it’s home to quality educational institutions as well as hospitals and medical centers.",5,5,"apartment, apartments",N/A,524,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/5-doors-apartment-for-sale-in-quezon-city-cubao-ma-173103850544/,AP61299B96AC3F9PH,"[121.0572,14.61777]",N/A,N/A,N/A
Congressional Townhouses,12400000,"Bahay Toro, Quezon City","Cozy House and no flooding area and very near SM north, Trinoma, SNr Congressional, Landers, Edsa Munoz, MRT Roosevelt Station",4,3,"apartment, apartments",N/A,202,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/congressional-townhouses-173105558178/,AP672173A96F13DPH,"[121.0293966,14.6671154]",N/A,N/A,"Bahay Toro, Project 8, QC"
Income Generating 8 Storey Apartment Building in Cubao Quezon City,180000000,"Cubao, Quezon City","LOCATION: Brgy E. Rodriguez Cubao Quezon City near EDSA   PRICE REDUCED FROM 260M down to 180M - Apartment For Sale!   Lot Area: 385 sqm  Floor Area: 3,000 sqm more or less  PRICE: PHP 180M   8-Storey with Elevator  Up to 7-9 car garage  4 water tanks  CCTV, Smoke detector, Sprinkler  Structure age: 8 years   A total of 56 units:   - 10 units - 2BR loft type; 60sqm each unit (16k/month)  - 40 units - 1BR; 30sqm each unit (13k/month)  - 6 units - studio type; 20-25 sqm (10k/month)  Plus Php 500 monthly dues ------> 90% occupancy   - DITO Cell site: 60k/month  Total monthly income: PHP 800K  Facing East   To schedule an actual site visit, please contact:   CHARMAINE BATALLER  PRC REBL #0020147  8  Grand Majesty Estate Corporation",56,56,"apartment, apartments",N/A,3000,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/income-generating-8-storey-apartment-building-in-c-171746747517/,HO6617E70FD24C5PH,"[121.0572,14.61777]",N/A,N/A,N/A
Apartment Building For Sale Novaliches,10500000,"San Bartolome, Quezon City","- 11 unit apartment
- 3 storey with roofdeck (can add another floor)
- all concrete
- flood free
- along major road
- good monthly income
- 55k/mo income (can easily be adjusted to 100k+/mo)

Lot Area - 284sqm
Flr Area - 550sqm

Price = 10.5M net",11,11,"apartment, apartments",N/A,550,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/apartment-building-for-sale-novaliches-173130786861/,AP6731A95CB359FPH,"[121.030643,14.704323]",N/A,N/A,N/A
"2-Storey Townhouse for Sale in Kamuning, Quezon City",9500000,"Kamuning, Quezon City","2-Storey Townhouse for Sale in Kamuning, Quezon City   Location: K-2nd Street, Kamuning, Quezon City  Lot Area: 60 sqm  Floor area: 85 sqm   Frontage: 4 meters  2 bedrooms  1 toilet and bath  1 parking   Flood-free  Facing South  Mortgaged  With tenant and monthly income of P25,000  Contract ends on April 2025   Cash payment only   Asking Price: P9.5 Million (gross and negotiable)   *Near EDSA, E.Rodriguez, Tomas Morato and Timog",2,1,"apartment, apartments",N/A,85,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/2-storey-townhouse-for-sale-in-kamuning-quezon-cit-171990531786/,AP6683AC2515014PH,"[121.03985,14.62808]",N/A,N/A,N/A
"Income Generating Apartment Building for sale at La Loma, Quezon City",33000000,"La Loma, Quezon City","APARTMENT FOR SALE
Paang Bundok La Loma Quezon City
 
Landmarks:
10 minutes walk to Chinese General Hospital
Next to La Loma Healing Center and Ping Ping's lechon


Income generating Apartment (Residential area, inner street)
Lot area: 330 sqm
With 9 units / door (7 occupied, 2 vacant)
With own toilet & bathroom each unit
All units with submeter for electric and water supply
Gated and secured compound / area
With monthly income of Php 49K per month

Asking price:
Php 33M, CGT included
Clean title and updated tax",9,9,"apartment, apartments",N/A,330,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/income-generating-apartment-building-for-sale-at-l-170780186171/,AP65C9097B43267PH,"[120.9933,14.62769]",N/A,N/A,N/A
"Quezon City, Agueda St. - Compound for Sale (9-Unit Apartment for Sale)",26000000,"Project 8, Quezon City","✅ With 9 small houses
✅ 594 sqm with 23.3M frontage
✅ Walking distance to commercial establishments:

Fast-food Chains and other Food/Beverage Shops (McDonald’s, Big Brew, Pares Retiro, etc,.)
Banks (Chinabank and BDO)
Logistics (LBC and J&T Express)
and more enterprises

PHP 26M (Sold as lot value only)

Schedule a viewing with us now!

LYONS Realty",9,N/A,"apartment, apartments",N/A,594,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/quezon-city-agueda-st-compound-for-sale-9-unit-apa-170470118186/,AP62D666F39B816PH,"[121.0245,14.66958]",N/A,N/A,N/A
Like Brandnew Apartment in Philand Tandang Sora near Congressional Ave,42000000,"Congressional Avenue, Quezon City","Like Brandnew Apartment Building in Philand Drive Pasong Tamo Tandang Sora QC Location : Philand Pasong Tamo, QC Lot Area : 536 sq.m. Floor Area: 695 sq.m. 3 storey Apartment Building 13 units( 1 bedroom) 12 car parking space Built year : 2021 Selling Price : 42M Ground floor -9 to 12 parking space, concrete fence and heavy duty gate -3 units x 1BR 25 sq.m. ( 1 unit can be converted into admin- office area) -Gated storage area or common area Second floor - 5 units x 1BR ( 4 units 25 sq.m., 1 unit 38 sq.m.) Third floor - 5 units x 1BR ( 4 units 25 sq.m., 1 unit 38 sq.m.) ROOF DECK Open area 60 sq.m. For further assistance please contact Grace Luciano Licensed Real Estate Broker REBL no. 000491",10,10,"apartment, apartments",N/A,695,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/like-brandnew-apartment-in-philand-tandang-sora-ne-171699507531/,AP6657440350955PH,"[121.031,14.66588]",N/A,N/A,N/A
"Apartment Building for Sale in Cubao, Quezon City, Metro Manila",100000000,"Cubao, Quezon City","Apartment Building for SALE PDS 25398 11th Ave., Brgy. Socorro, Cubao, Quezon CityCentrally located, it is a few blocks away from Ali Mall and the Araneta Coliseum. Lot Area 441 sqm Floor Area 119 sqm Quaint 4-storey building With 22 rentable residential units  And 14 rentable parking spaces Despite its proximity to a large commercial hub, the building is situated on a quiet, peaceful street.  The building also enjoys full occupancy, given its location and good maintenance. Ground floor units fronting the street can also be converted into offices and a small business center. Income generating property Price P 226,757 /sqm = P100,000,000",1,1,"apartment, apartments",N/A,119,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/apartment-building-for-sale-in-cubao-quezon-city-m-16800152500/,CO64210656D9C51PH,"[121.0572,14.61777]",N/A,N/A,N/A
FOR SALE COMMERCIAL BUILDING WITH AN OPERATIONAL BUSINESS IN QUEZON CITY,85000000,"San Bartolome, Quezon City","FOR SALE COMMERCIAL BUILDING WITH AN OPERATIONAL BUSINESS IN QUEZON CITY

Location : Quezon City Area Along The Highway

Lot Area: 382sqm
Floor Area: 1000sqm (+/-)

19 Units Rented Rooms
Estimated Monthly Income of ₱200,000

Selling Price: P85,000,000 negotiable",19,19,"apartment, room",N/A,1000,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/for-sale-commercial-building-with-an-operational-b-172241658965/,AP66A9FDCDC2453PH,"[121.030643,14.704323]",N/A,N/A,N/A
"Rush! Corner Commercial Apartment for sale in Cubao, Quezon City",55000000,"Cubao, Quezon City",A 3 unit corner bldg in cubao area. Lot area : 500 sq.m  Price       : php.55 M ( NET )    * 1st bldg :             2 story with 5 unit apartments     * 2nd bldg:              3 story with 9 unit studio type    *  3rd bldg :              2 story with 3 unit townhouse   Clean title  Nice location  A day notice for ocular For direct clients only Thank you,17,17,"apartment, apartments",N/A,N/A,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/rush-corner-commercial-apartment-for-sale-in-cubao-170894488578/,CO65DAC3D51BD75PH,"[121.0572,14.61777]",N/A,N/A,N/A
fs: 5 door apartment (novaliches),12000000,"Novaliches, Quezon City",FS: 5 DOOR APARTMENT  LOCATION: NOVALICHES LOT AREA: 138 SQM FLOOR AREA: 230 SQM  4 BACHOLORS PAD 1DR APARTMENT  SELLING PRICE: 12M  AR. EUGENE K. DY LICENSED REAL ESTATE BROKER PRC 2559 LICENSED ARCHITECT PRC 16170,5,N/A,"apartment, apartments",N/A,230,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/fs-5-door-apartment-novaliches-171075282193/,AP65ED896BDDE6DPH,"[121.0521,14.7214]",N/A,N/A,N/A
for sale: apartelle with income novaliches,68000000,"Pasong Putik Proper, Quezon City","for sale:
apartelle with earning income
location: pasong putik proper novaliches
3 storey with roof deck
lot area: 405 sqm
floor area: 700 sqm
number of units: 30
furnished
with parking lots
eaning income: 500k to 600k monthly
selling price: php 68,000,000
ar. eugene k. dy
licensed architect
prc 16170
licensed real estate broker
prc 2559",30,N/A,"apartment, room",N/A,700,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/for-sale-apartelle-with-income-novaliches-169197976297/,AP64D8448FADD7FPH,"[121.049634,14.721256]",N/A,N/A,N/A
3-Unit Apartment Near Egea St. Cubao For Sale,40100000,"Pinagkaisahan, Quezon City","For Sale: 3-Unit Apartment, very near Egea St. Cubao Fully tenanted, stable monthly income with good growth prospects. The area is in high demand for both residential & office rentals.  Lot area: 250 sqm (subdivided into 3 units) Each unit is built townhouse style.  Total developed floor area: 297 sqm Each townhouse unit has 2 to 3 bedrooms, 2 baths, 1 car garage.  With Clean Title.  Gross Price: Php 40.1 M (Vat Inclusive)  PRC 32749",8,6,"apartment, apartments",8,297,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/3-unit-apartment-near-egea-st-cubao-for-sale-171158873657/,AP6604C580E0E7DPH,"[121.04426,14.626617]",3,,N/A
"Apartment with 17 Rooms for Sale at Fairview, Quezon City",70000000,"Novaliches, Quezon City","Income generating property with existing tenants  - The house is earning a considerable income from bed spacers and   rooming tenants because of its favorable location (About Php   100,000/Month income) - There are total of 16 Rooms: 8 are for 4 bed spacers and 8 are for 2 pax.  There's a separate house in front where the caretaker lives (below), and   above is a studio being rented. Hence, a total of 17 rooms. - The renters have a separate dining and kitchen area where they can cook - there is enough space for buyer to build another building at the back of  the existing house for added income - Clean Title - 2 Storey Corner House Inside Maligaya Park Subdivision, Fairview, Quezon   City - Located very near SM Fairview on Quirino Highway and close to Divine   Grace School and Montessori School  - Lot Area: 891 sqm - Floor Area: 500 sqm (2- Storey)   Asking Price: P70,000,000  Apartment Property for Sale in Novaliches, Quezon City, Metro Manila",17,N/A,"apartment, room",N/A,500,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/projects/maligaya-park-subdivision/apartment-with-17-rooms-for-sale-at-fairview-quezo-170988158742/,AP65DC44B31F55BPH,"[121.0521,14.7214]",N/A,,Maligaya Park Subdivision
MC - FOR SALE: Fairview Dormintory in Quezon City,36000000,"Fairview, Quezon City","FOR SALE: Fairview Dormintory in Quezon City

Lot Area: 503 sqm
Floor Area: 800 sqm
15 Bedrooms
15 Bathrooms
4 Parking Slots
Fully Furnished

Asking Price: Php 36,000,000

LIsting Broker: Mae Calatrava",15,15,"apartment, apartments",N/A,800,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/mc-for-sale-fairview-dormintory-in-quezon-city-17065928223/,AP65B88A36E1619PH,"[121.06821,14.702178]",4,N/A,Fairview Dormintory
"4-Storey Apartment Building for Sale in Project 2, Quezon City",37000000,"Project 2, Quezon City","TG-SM285

4-Storey Apartment Building for Sale in Project 2, Quezon City

P37,000,000 NET

Floor Area: 1,000 sqm
Lot Area: 201 sqm
5+ Bedrooms
5+ Bathrooms
2+ Parking Space
Partially Fitted

Description:
Pre-Owned
Clean title
Negotiable
with mezzanine
with Spacious lobby  
16 rental units w/ own bathrooms
With parking spaces available up front
Quiet and safe neighborhood 
Additional parking spots along the road

Location:
Along Anonas Ave in Project 2 near Cubao
5 min walking distance of LRT2
connecting the area to Katipunan and Antipolo as well as Recto and Aurora",5,5,"apartment, apartments",N/A,1000,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/4-storey-apartment-building-for-sale-in-project-2-170322661214/,AP65852CF49B190PH,"[121.0594362,14.6310662]",N/A,N/A,N/A
"For Sale Apartment Commercial Building with income near Araneta, Quezon City",100000000,"Cubao, Quezon City","Apartment building with income fully tenanted 22 residential units 15 parking slots with individual condo titles 22 residential units with parking slots lot area - 441sqm floor area - 1199sqm 

inquire  for more details 
direct buyers only",22,22,"apartment, apartments",N/A,1199,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/for-sale-apartment-commercial-building-with-income-170065048876/,CO654A6729B3AB7PH,"[121.0572,14.61777]",N/A,N/A,N/A
"Project 4 Apartment Building for Sale, with Rental Income",23000000,"Project 4, Quezon City","For sale in Project 4 QC, 3 and half floor Apartment near Ateneo, PSBA and NCBA.
Clean titled

Total Lot area of 249sqm property including 4 apartment units (for renting or whatever they choose to do with the property) and main house.

First 3 apartments, rented out at 10k/month each. The 4th apartment is relatively newer and bigger, and is currently rented out at 12k/month. Total income is P 42k / month. 

Main house is a 4-story building
With 2 car garages (can fit total of 3 cars) and space outside the house parking for 1-2 more cars
1st flr: kitchen, 2 storage areas, dining area, and 1 T&B
2nd flr: 2 bedrooms, 1 storage area, 1 living room, and 1 bathroom
3rd flr: 3 bedrooms, 1 bathroom, roof deck
4th floor: Attic

For more inquiries, contact us.
Only Clients and PRC-Licensed brokers will be entertained. 
Thank you and God bless!

Terence Ong
PRC 9238
Pareb CTREB 2xDirector",7,4,"apartment, apartments",N/A,300,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/project-4-apartment-building-for-sale-with-rental-172412506234/,AP66C40F86957CFPH,"[121.0708,14.62078]",N/A,N/A,Porject 4 QC
PN54822 4 Storey Residential Building for Sale Fairview Quezon City!,10000000,"Fairview, Quezon City","PN54822 4Storey Residential Building For Sale FAIRVIEW QC! P10M  400sqm 10Room 3t&b 2 Car Garage We Assist in Bank Financing with Low Down Payment, Low Interest We also Design, Build & Renovate. We assist in House Construction Financing",10,3,"apartment, apartments",N/A,400,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/pn54822-4-storey-residential-building-for-sale-fairview-quezon-city/,HO62BEA0796C810PH,"[121.06821,14.702178]",2,N/A,N/A
"RUSH!!! Along Maginhawa Commercial Property For Sale , Quezon City",42000000,"Sikatuna Village, Quezon City","Located    : Along Maginhawa
Lot Area    : 300  Sq.M
Floor Area :  More Or Less 200  Sqm
Price         : Php. 42M Net
     *  Facing Morning Sun/East
     *  Suitable For Restaurant, Townhouse, Bldg
     
Viewing  : By Appointment Only
No Agents /Brokers 
For Direct Clients Only
Thank You",2,2,"apartment, apartments",N/A,200,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/projects/sikatuna-village/rush-along-maginhawa-commercial-property-for-sale-171534787591/,HO61C193FE17B96PH,"[121.057875,14.636902]",4,120,N/A
6 Apartment Unit Property in Barangay Pinyahan Quezon City for Sale,50000000,"Pinyahan, Quezon City","-Property is located in Barangay Pinyahan Q.C very near LTO on East Ave. Street is first street parallel to Edsa and a short walk also to GMA 7 on Timog cor Edsa. Lot area 420 sqm. 2 bedrooms 1 bathroom per unit.  orientation is facing east (Morning sun)  6 apartment units. 3 units along street ( no parking) and 3 units at back ( with parking good for 6 cars). Selling Price : Php 50,000,000 sy",2,1,"apartment, apartments",N/A,420,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/6-apartment-unit-property-in-barangay-pinyahan-que-172783619292/,AP66FCB0206E511PH,"[121.046387,14.638462]",N/A,N/A,N/A
Two storey building with 11 unit apartment FATIMA UNIVERSITY LAGRO,40000000,"Novaliches, Quezon City",*Two-storey building with 11 unit studio type apartment *Two-storey residential house   4bedroom   3toilet and bath    maids room    Garrage*Two (2) bungalow type house   =house 1 1br 1t&b   =house 2  3br 1t&bmore than 900sqm vacant lot,N/A,9,"apartment, apartments",N/A,1300,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/two-storey-building-with-11-unit-apartment-fatima-172660704711/,AP66E9EEC72B013PH,"[121.0521,14.7214]",N/A,N/A,N/A
"450 sq m Apartments in G.H. Del Pilar, Cubao, Quezon City",45000000,"Cubao, Quezon City",5 doors Income Generating,5,N/A,"apartment, apartments",N/A,N/A,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/450-sq-m-apartments-in-g-h-del-pilar-cubao-quezon-172587454738/,AP66DEC17380C50PH,"[121.0572,14.61777]",N/A,N/A,N/A
"Rush Sale! 18M with 27 studio units Apartment, 4th ave.cubao Quezon City",18000000,"Cubao, Quezon City","The Property is a 4 story bldg.located in 4th ave.cubao with lot area : 131sq.m with floor area: 260.25 Asking Price : Php 18M * consist of 27 studio unit  * with monthly income of 200 k/month * a minute walk to camp crame, edsa , mrt * tenats mostly police trainees in camp crame   for direct clients only no to brker /agents a day notice for ocular thank you",8,8,"apartment, apartments",N/A,260.25,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/rush-sale-18m-with-27-studio-units-apartment-4th-a-172894799386/,AP64CB8CDE69685PH,"[121.0572,14.61777]",N/A,N/A,4th ave cubao
"2,000sqm floor area Commercial/Residential Property in Doña Imelda, Quezon City",65000000,"Doña Imelda, Quezon City","Pre owned commercial/residential property located in Quezon City  
10+ bedrooms / 10+ toilet and bath 
5 car garage 
450 sqm lot area 
2,000 sqm floor area 
5 storey (no elevator but with provision) 

P65,000,000 negotiable

Apartment Property for Sale in Doña Imelda, Quezon City, Metro Manila",10,10,"apartment, apartments",N/A,2000,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/2-000sqm-floor-area-commercial-residential-propert-168917748173/,AP645C9E3BA4487PH,"[121.017741,14.61693]",5,120,N/A
L-7: CUBAO APAERMENTS,45000000,"Cubao, Quezon City","Located near E.Rodriquez Ave., this 3dood solid concrete apartment is an ideal investment. presently, it earns about P120K/mo. Maybe converted into townhouse for sale",9,6,"apartment, apartments",N/A,250,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/l-7-cubao-apaerments-172502012820/,AP664891A68F333PH,"[121.0572,14.61777]",N/A,N/A,N/A
Apartment for sale in Bago Bantay Quezon City,13000000,"Alicia, Quezon City","For Sale! INCOME GENERATING APARTMENT Location: Bago Bantay, Quezon City Walking distance to Congressional Ave. Very near SM North, Trinoma, SnR Congressional, LRT Roosevelt Station 2 Storey 2 Door units Up and Down ( concrete) 1 Door unit up and down ( semi concrete) Lot Area: 203sqm Floor Area: 280sqm approximate Php 13M asking price Cash or Bank financing Viewing by appointment Thank you!",3,3,"apartment, apartments",N/A,280,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/apartment-for-sale-in-bago-bantay-quezon-city-170123221365/,AP6566BE55E4037PH,"[121.025267,14.661434]",N/A,N/A,N/A
"2- Storey 10-Door Apartment Building For Sale in Cubao, Quezon City",52000000,"Cubao, Quezon City","For Sale: 2- Storey 10-Door Apartment Building in Cubao, Quezon City Lot Area: 285 sqm Floor Area: 435 sqm Busy street near corner Infront of Holy Spirit Convent Income Generating Investment Fully Tenanted Clean, Well-maintained With 5 Parking Asking 
Price: P52M negotiable 

Mary Kristine Kantanilla PRC REB License # 32738",1,1,"apartment, apartments",N/A,435,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/2-storey-10-door-apartment-building-for-sale-in-cu-169986982894/,CO64C11AF8CE45APH,"[121.0572,14.61777]",N/A,N/A,N/A
For Sale: 13-bedroom apartment Brgy. Bagong Pag-Asa QC,82744925,"Bagong Pag-Asa, Quezon City","Income generating, with existing tenants  Price exclusive of VAT",13,N/A,"apartment, apartments",N/A,540,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/for-sale-13-bedroom-apartment-brgy-bagong-pag-asa-171915596827/,AP66783D00DFD17PH,"[121.03781,14.650205]",N/A,N/A,N/A
"2- STOREY 10-DOOR APARTMENT BUILDING IN NEW MANILA, QUEZON CITY",54000000,"New Manila, Quezon City","2- STOREY 10-DOOR APARTMENT BUILDING IN NEW MANILA, QUEZON CITY  Lot Area: 285 sqm Floor Area: 435 sqm Busy street near corner lot Income Generating Investment Fully Tenanted Clean, Well-maintained With 5 Parking Space Asking Price: P54Million",10,10,"apartment, apartments",N/A,435,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/2-storey-10-door-apartment-building-in-new-manila-172129581818/,AP6698E3CA9D4BAPH,"[121.0306,14.61633]",N/A,N/A,N/A
Apartment For Sale In Teachers Village Quezon City,75000000,"Diliman, Quezon City","LOT AREA- 400SQM
  6 DOOR APARTMENT
  WITH INCOME",2,2,"apartment, apartments",N/A,N/A,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/projects/teachers-village/apartment-for-sale-in-teachers-village-quezon-city-170894324168/,AP65D9968199E23PH,"[121.0528,14.6462]",N/A,N/A,Teacher's Village
"11 Doors Apartment 2 Storey For Sale Near Biak Na Bato, Quezon City",166860000,"Laging Handa, Quezon City","FOR SALE 
-11 Doors Apartment, 2 storey
 Along Apo St, Quezon City

Two Titles: 460 and 467
Lot Area: 927sqm
Frontage: 32 meters
Tenant income: 200k plus

Selling price: 166,860,000.00@180k/sqm

Betty Ongsiaco Gorospe
RE/MAX Capital
PRC RES license No. 16330",11,N/A,"apartment, apartments",N/A,927,N/A,https://www.lamudi.com.phhttps://www.lamudi.com.ph/buy/metro-manila/quezon-city/11-doors-apartment-2-storey-for-sale-near-biak-na-168973459869/,HO646DD85B88D50PH,"[121.032076,14.632936]",N/A,N/A,N/A
